[14:06:36] fleet start: 160 jobs, concurrency 8
[14:07:14] research-github: OK in 38s (30552 tok, $0.055) [done 1, failed 0]
[14:08:09] research-coingecko: OK in 94s (234099 tok, $0.295) [done 2, failed 0]
[14:08:12] research-stripe: OK in 96s (236675 tok, $0.220) [done 3, failed 0]
[14:08:12] research-omdb: OK in 96s (258538 tok, $0.269) [done 4, failed 0]
[14:08:12] research-free-dictionary-api: OK in 96s (225937 tok, $0.201) [done 5, failed 0]
[14:08:32] research-spoonacular: OK in 78s (438891 tok, $0.288) [done 6, failed 0]
[14:08:35] research-alpha-vantage: OK in 119s (300889 tok, $0.242) [done 7, failed 0]
[14:08:46] research-openai: OK in 130s (350259 tok, $0.653) [done 8, failed 0]
[14:09:18] research-boardgamegeek: OK in 67s (202372 tok, $0.207) [done 9, failed 0]
[14:09:28] research-jokeapi: OK in 78s (342927 tok, $0.265) [done 10, failed 0]
[14:09:31] research-wikidata: OK in 175s (523752 tok, $0.412) [done 11, failed 0]
[14:09:36] research-twilio: OK in 18s (30363 tok, $0.045) [done 12, failed 0]
[14:09:44] research-google-maps: OK in 92s (266050 tok, $0.313) [done 13, failed 0]
[14:09:44] research-congress-gov: OK in 92s (361279 tok, $0.303) [done 14, failed 0]
[14:09:44] research-transitland: OK in 13s (30207 tok, $0.013) [done 15, failed 0]
[14:10:30] research-haveibeenpwned: OK in 105s (253886 tok, $0.261) [done 16, failed 0]
[14:10:34] research-newsapi: OK in 118s (191963 tok, $0.229) [done 17, failed 0]
[14:10:51] research-anthropic: OK in 67s (198378 tok, $0.245) [done 18, failed 0]
[14:10:59] research-coinmarketcap: OK in 75s (246494 tok, $0.240) [done 19, failed 0]
[14:11:01] research-openweathermap: OK in 85s (272306 tok, $0.377) [done 20, failed 0]
[14:11:01] research-exercisedb: OK in 149s (763477 tok, $0.436) [done 21, failed 0]
[14:11:19] research-api-football: OK in 112s (398501 tok, $0.356) [done 22, failed 0]
[14:11:25] research-census-bureau: OK in 101s (291778 tok, $0.332) [done 23, failed 0]
[14:11:42] research-cheapshark: OK in 17s (30290 tok, $0.044) [done 24, failed 0]
[14:11:44] research-gitlab: OK in 73s (222669 tok, $0.329) [done 25, failed 0]
[14:11:58] research-paypal: OK in 85s (179461 tok, $0.247) [done 26, failed 0]
[14:12:21] research-currencyapi: OK in 80s (157640 tok, $0.158) [done 27, failed 0]
[14:12:25] research-themealdb: OK in 84s (204506 tok, $0.173) [done 28, failed 0]
[14:12:37] research-open-library: OK in 106s (345826 tok, $0.341) [done 29, failed 0]
[14:12:53] research-api-ninjas-exercises: OK in 55s (160654 tok, $0.134) [done 30, failed 0]
[14:12:53] research-official-joke-api: OK in 94s (326831 tok, $0.220) [done 31, failed 0]
[14:13:15] research-mapbox: OK in 94s (282770 tok, $0.262) [done 32, failed 0]
[14:13:25] research-gnews: OK in 64s (227079 tok, $0.280) [done 33, failed 0]
[14:13:26] research-tmdb: OK in 147s (382734 tok, $0.341) [done 34, failed 0]
[14:13:49] research-launch-library-2: OK in 84s (274680 tok, $0.253) [done 35, failed 0]
[14:14:04] research-binance: OK in 15s (30255 tok, $0.025) [done 36, failed 0]
[14:14:12] research-openfec: OK in 148s (585420 tok, $0.439) [done 37, failed 0]
[14:14:23] research-thesportsdb: OK in 89s (286097 tok, $0.266) [done 38, failed 0]
[14:14:38] research-weatherapi: OK in 73s (394291 tok, $0.322) [done 39, failed 0]
[14:15:02] research-google-gemini: OK in 96s (434704 tok, $0.395) [done 40, failed 0]
[14:15:03] research-sendgrid: OK in 130s (246286 tok, $0.467) [done 41, failed 0]
[14:15:29] research-opentripplanner: OK in 134s (451726 tok, $0.327) [done 42, failed 0]
[14:15:35] research-bitbucket: OK in 82s (536963 tok, $0.398) [done 43, failed 0]
[14:15:45] research-square: OK in 82s (175994 tok, $0.257) [done 44, failed 0]
[14:15:56] research-nominatim: OK in 111s (284740 tok, $0.268) [done 45, failed 0]
[14:16:02] research-giantbomb: OK in 18s (30340 tok, $0.062) [done 46, failed 0]
[14:16:07] research-tvmaze: OK in 65s (209610 tok, $0.219) [done 47, failed 0]
[14:16:17] research-wikipedia: OK in 99s (327321 tok, $0.276) [done 48, failed 0]
[14:16:21] research-exchangerate-api: OK in 78s (257900 tok, $0.213) [done 49, failed 0]
[14:16:31] research-nvd-nist: OK in 234s (310135 tok, $0.252) [done 50, failed 0]
[14:16:43] research-usgs-earthquake: OK in 21s (30687 tok, $0.016) [done 51, failed 0]
[14:16:45] research-thecocktaildb: OK in 76s (210557 tok, $0.172) [done 52, failed 0]
[14:16:47] research-chuck-norris-jokes: OK in 72s (148604 tok, $0.152) [done 53, failed 0]
[14:17:32] research-mailgun: OK in 49s (269080 tok, $0.223) [done 54, failed 0]
[14:17:41] research-usaspending: OK in 99s (267532 tok, $0.230) [done 55, failed 0]
[14:17:56] research-mediastack: OK in 99s (274765 tok, $0.304) [done 56, failed 0]
[14:18:02] research-wger: OK in 115s (309743 tok, $0.252) [done 57, failed 0]
[14:18:20] research-firecrawl: OK in 18s (30367 tok, $0.017) [done 58, failed 0]
[14:18:28] research-nws-weather-gov: OK in 56s (160880 tok, $0.179) [done 59, failed 0]
[14:18:33] research-cve-program: OK in 122s (390343 tok, $0.275) [done 60, failed 0]
[14:19:03] research-groq: OK in 82s (238279 tok, $0.285) [done 61, failed 0]
[14:19:09] research-balldontlie: OK in 143s (249936 tok, $0.241) [done 62, failed 0]
