[16:18:47] fleet start: 952 jobs, concurrency 8
[16:19:15] verify-abs-statistics-b: OK in 28s (30295 tok, $0.043) [done 1, failed 0]
[16:19:15] verify-abs-statistics-a: OK in 28s (30314 tok, $0.044) [done 2, failed 0]
[16:19:27] verify-abuseipdb-b: OK in 12s (30034 tok, $0.052) [done 3, failed 0]
[16:19:29] verify-abuseipdb-a: OK in 14s (30140 tok, $0.043) [done 4, failed 0]
[16:19:44] verify-adsb-exchange-a: OK in 17s (30231 tok, $0.044) [done 5, failed 0]
[16:19:44] verify-adsb-exchange-b: OK in 14s (30283 tok, $0.044) [done 6, failed 0]
[16:19:56] verify-advice-slip-a: OK in 13s (29892 tok, $0.042) [done 7, failed 0]
[16:20:10] verify-aerodatabox-a: OK in 14s (30139 tok, $0.013) [done 8, failed 0]
[16:20:12] verify-abstract-ip-geo-b: OK in 84s (184349 tok, $0.192) [done 9, failed 0]
[16:20:17] verify-17track-b: OK in 89s (227109 tok, $0.205) [done 10, failed 0]
[16:20:18] verify-abstract-ip-geo-a: OK in 90s (190097 tok, $0.147) [done 11, failed 0]
[16:20:23] verify-abstract-email-a: OK in 95s (229713 tok, $0.203) [done 12, failed 0]
[16:20:30] verify-aftership-a: OK in 12s (30290 tok, $0.053) [done 13, failed 0]
[16:20:30] verify-abstract-email-b: OK in 103s (349726 tok, $0.295) [done 14, failed 0]
[16:20:30] verify-afterpay-a: OK in 19s (30028 tok, $0.043) [done 15, failed 0]
[16:20:47] verify-aisstream-a: OK in 16s (30107 tok, $0.015) [done 16, failed 0]
[16:20:54] verify-17track-a: OK in 126s (408695 tok, $0.277) [done 17, failed 0]
[16:21:18] verify-aerodatabox-b: OK in 68s (243148 tok, $0.193) [done 18, failed 0]
[16:21:29] verify-afterpay-b: OK in 72s (208414 tok, $0.248) [done 19, failed 0]
[16:21:32] verify-aisstream-b: OK in 62s (125479 tok, $0.131) [done 20, failed 0]
[16:21:35] verify-alpaca-b: OK in 17s (30204 tok, $0.044) [done 21, failed 0]
[16:21:35] verify-advice-slip-b: OK in 111s (223991 tok, $0.169) [done 22, failed 0]
[16:21:59] verify-aftership-b: OK in 96s (330225 tok, $0.273) [done 23, failed 0]
[16:22:19] verify-alienvault-otx-a: OK in 109s (500926 tok, $0.334) [done 24, failed 0]
[16:22:33] verify-alpaca-a: OK in 99s (511684 tok, $0.437) [done 25, failed 0]
[16:22:44] verify-amazon-bedrock-a: OK in 75s (264196 tok, $0.297) [done 26, failed 0]
[16:23:10] verify-anilist-b: OK in 50s (221415 tok, $0.185) [done 27, failed 0]
[16:23:19] verify-amazon-paapi-b: OK in 105s (297406 tok, $0.259) [done 28, failed 0]
[16:23:23] verify-amazon-bedrock-b: OK in 111s (315487 tok, $0.313) [done 29, failed 0]
[16:23:23] verify-apify-b: OK in 40s (137415 tok, $0.205) [done 30, failed 0]
[16:23:31] verify-arxiv-api-a: OK in 22s (29959 tok, $0.015) [done 31, failed 0]
[16:23:33] verify-amazon-paapi-a: OK in 119s (273750 tok, $0.234) [done 32, failed 0]
[16:23:42] verify-anilist-a: OK in 103s (238587 tok, $0.181) [done 33, failed 0]
[16:23:42] verify-apify-a: OK in 69s (178439 tok, $0.206) [done 34, failed 0]
[16:23:48] verify-arxiv-api-b: OK in 28s (30062 tok, $0.014) [done 35, failed 0]
[16:23:53] verify-arxiv-a: OK in 30s (30476 tok, $0.014) [done 36, failed 0]
[16:23:53] verify-arxiv-b: OK in 30s (30477 tok, $0.043) [done 37, failed 0]
[16:24:02] verify-assemblyai-b: OK in 28s (30100 tok, $0.043) [done 38, failed 0]
[16:25:06] verify-authorize-net-a: OK in 73s (322104 tok, $0.239) [done 39, failed 0]
[16:25:10] verify-auth0-a: OK in 82s (195687 tok, $0.301) [done 40, failed 0]
[16:25:18] verify-avalara-a: OK in 12s (30558 tok, $0.014) [done 41, failed 0]
[16:25:22] verify-assemblyai-a: OK in 111s (251902 tok, $0.281) [done 42, failed 0]
[16:25:42] verify-astronomyapi-a: OK in 120s (408745 tok, $0.388) [done 43, failed 0]
[16:26:15] verify-authorize-net-b: OK in 133s (428516 tok, $0.314) [done 44, failed 0]
[16:26:20] verify-aviation-edge-b: OK in 58s (182768 tok, $0.218) [done 45, failed 0]
[16:26:27] verify-aviationstack-b: OK in 13s (30172 tok, $0.015) [done 46, failed 0]
[16:26:41] verify-aws-rekognition-a: OK in 21s (30322 tok, $0.014) [done 47, failed 0]
[16:26:47] verify-astronomyapi-b: parse failure (attempt 1): Expecting ',' delimiter: line 1365 column 3 (char 4117)
[16:27:01] verify-aviation-edge-a: OK in 103s (231484 tok, $0.363) [done 48, failed 0]
[16:27:09] verify-avalara-b: OK in 120s (383383 tok, $0.286) [done 49, failed 0]
[16:27:21] verify-azure-maps-a: OK in 11s (30218 tok, $0.044) [done 50, failed 0]
[16:27:32] verify-aws-rekognition-b: OK in 64s (201585 tok, $0.236) [done 51, failed 0]
[16:27:49] verify-azure-openai-a: OK in 17s (30246 tok, $0.053) [done 52, failed 0]
[16:28:17] verify-azure-maps-b: OK in 57s (194960 tok, $0.301) [done 53, failed 0]
[16:28:32] verify-astronomyapi-b: OK in 106s (314773 tok, $0.357) [done 54, failed 0]
[16:28:58] verify-aviationstack-a: OK in 196s (518452 tok, $0.528) [done 55, failed 0]
[16:29:11] verify-aylien-news-b: OK in 131s (496520 tok, $0.421) [done 56, failed 0]
[16:29:27] verify-bing-maps-b: OK in 16s (30230 tok, $0.049) [done 57, failed 0]
[16:29:31] verify-aylien-news-a: OK in 169s (528686 tok, $0.493) [done 58, failed 0]
[16:29:39] verify-bing-news-search-a: OK in 12s (30300 tok, $0.044) [done 59, failed 0]
[16:29:42] verify-bing-news-search-b: OK in 11s (30357 tok, $0.014) [done 60, failed 0]
[16:29:48] verify-bigcommerce-a: OK in 90s (279218 tok, $0.254) [done 61, failed 0]
[16:29:53] verify-birdeye-a: OK in 13s (30663 tok, $0.015) [done 62, failed 0]
[16:30:03] verify-auth0-b: OK in 370s (646559 tok, $0.522) [done 63, failed 0]
[16:30:09] verify-blockchair-a: OK in 21s (29958 tok, $0.043) [done 64, failed 0]
[16:30:13] verify-bing-maps-a: OK in 75s (237020 tok, $0.254) [done 65, failed 0]
[16:30:25] verify-bigcommerce-b: parse failure (attempt 1): Expecting ',' delimiter: line 2735 column 1 (char 8227)
[16:30:39] verify-bigcommerce-b: OK in 15s (30116 tok, $0.013) [done 66, failed 0]
[16:30:51] verify-bored-api-b: OK in 12s (30092 tok, $0.013) [done 67, failed 0]
[16:31:03] verify-brawl-stars-a: OK in 12s (30109 tok, $0.013) [done 68, failed 0]
[16:31:20] verify-bluesky-a: OK in 76s (202288 tok, $0.180) [done 69, failed 0]
[16:31:26] verify-birdeye-b: OK in 104s (233988 tok, $0.204) [done 70, failed 0]
[16:31:32] verify-blockchair-b: OK in 99s (245241 tok, $0.310) [done 71, failed 0]
[16:31:43] verify-brewerydb-a: OK in 11s (30105 tok, $0.013) [done 72, failed 0]
[16:31:56] verify-bored-api-a: OK in 103s (185034 tok, $0.193) [done 73, failed 0]
[16:32:08] verify-bluesky-b: OK in 119s (161769 tok, $0.207) [done 74, failed 0]
[16:32:08] verify-azure-openai-b: OK in 259s (1216012 tok, $0.737) [done 75, failed 0]
[16:32:24] verify-brevo-a: OK in 64s (243053 tok, $0.187) [done 76, failed 0]
[16:32:26] verify-brevo-b: OK in 60s (233898 tok, $0.267) [done 77, failed 0]
[16:32:48] verify-bright-data-a: OK in 52s (170075 tok, $0.207) [done 78, failed 0]
[16:32:55] verify-bright-data-b: OK in 47s (171259 tok, $0.162) [done 79, failed 0]
[16:33:05] verify-calorieninjas-a: OK in 10s (29943 tok, $0.015) [done 80, failed 0]
[16:33:15] verify-bright-sky-a: OK in 67s (227015 tok, $0.172) [done 81, failed 0]
[16:33:23] verify-browserstack-a: OK in 56s (193634 tok, $0.339) [done 82, failed 0]
[16:34:14] verify-brewerydb-b: OK in 151s (359753 tok, $0.276) [done 83, failed 0]
[16:34:26] verify-calorieninjas-b: OK in 82s (255712 tok, $0.197) [done 84, failed 0]
[16:34:28] verify-bright-sky-b: OK in 124s (451647 tok, $0.395) [done 85, failed 0]
