[round 1] purged=0 queued=68
[16:51:56] fleet start: 68 jobs, concurrency 4
[16:52:16] adjudicate-aerodatabox: OK in 19s (31070 tok, $0.044) [done 1, failed 0]
[16:52:16] adjudicate-17track: OK in 19s (30805 tok, $0.044) [done 2, failed 0]
[16:52:16] adjudicate-afterpay: OK in 20s (30855 tok, $0.044) [done 3, failed 0]
[16:52:20] adjudicate-adyen: OK in 23s (30885 tok, $0.044) [done 4, failed 0]
[16:52:37] adjudicate-api-football: OK in 21s (30777 tok, $0.043) [done 5, failed 0]
[16:52:42] adjudicate-api-ninjas-exercises: OK in 26s (31159 tok, $0.045) [done 6, failed 0]
[16:53:40] adjudicate-auth0: parse failure (attempt 1): Expecting ',' delimiter: line 1 column 4110 (char 4109)
[16:53:52] adjudicate-auth0: OK in 12s (31113 tok, $0.051) [done 7, failed 0]
[16:54:02] adjudicate-alpaca: OK in 107s (350117 tok, $0.424) [done 8, failed 0]
[16:54:15] adjudicate-aviation-edge: OK in 93s (203081 tok, $0.219) [done 9, failed 0]
[16:54:24] adjudicate-azure-openai: OK in 9s (31100 tok, $0.054) [done 10, failed 0]
[16:54:26] adjudicate-aws-rekognition: OK in 35s (129227 tok, $0.150) [done 11, failed 0]
[16:54:32] adjudicate-azure-maps: OK in 30s (71478 tok, $0.135) [done 12, failed 0]
[16:54:37] adjudicate-bigcommerce: OK in 10s (30930 tok, $0.054) [done 13, failed 0]
[16:54:41] adjudicate-balldontlie: OK in 17s (31069 tok, $0.063) [done 14, failed 0]
[16:54:41] adjudicate-astronomyapi: OK in 142s (475121 tok, $0.342) [done 15, failed 0]
[16:54:41] adjudicate-bing-maps: OK in 9s (31098 tok, $0.014) [done 16, failed 0]
[16:55:18] adjudicate-bluesky: OK in 37s (104374 tok, $0.095) [done 17, failed 0]
[16:55:35] adjudicate-bing-news-search: OK in 58s (213945 tok, $0.227) [done 18, failed 0]
[16:55:36] adjudicate-birdeye: OK in 55s (116468 tok, $0.136) [done 19, failed 0]
[16:55:50] adjudicate-blockchair: OK in 69s (218050 tok, $0.244) [done 20, failed 0]
[16:56:06] adjudicate-brevo: OK in 29s (66042 tok, $0.045) [done 21, failed 0]
[16:56:14] adjudicate-bored-api: OK in 56s (106004 tok, $0.157) [done 22, failed 0]
[16:56:40] adjudicate-bright-data: OK in 34s (71839 tok, $0.063) [done 23, failed 0]
[16:57:07] adjudicate-bright-sky: OK in 53s (104720 tok, $0.096) [done 24, failed 0]
[16:57:50] adjudicate-canada-open-data: OK in 70s (240996 tok, $0.190) [done 25, failed 0]
[16:58:08] adjudicate-brawl-stars: parse failure (attempt 1): Expecting ',' delimiter: line 1 column 4124 (char 4123)
[16:58:43] adjudicate-censys: OK in 53s (174466 tok, $0.140) [done 26, failed 0]
[16:58:56] adjudicate-brewerydb: OK in 185s (361149 tok, $0.309) [done 27, failed 0]
[16:59:28] adjudicate-circleci: OK in 45s (184267 tok, $0.148) [done 28, failed 0]
[16:59:34] adjudicate-carmd: OK in 148s (383335 tok, $0.272) [done 29, failed 0]
[16:59:40] adjudicate-brawl-stars: OK in 92s (313016 tok, $0.250) [done 30, failed 0]
[16:59:49] adjudicate-clerk: OK in 14s (30783 tok, $0.044) [done 31, failed 0]
