[16:34:09] fleet start: 60 jobs, concurrency 4
[16:34:36] adjudicate-17track: OK in 28s (80478 tok, $0.114) [done 1, failed 0]
[16:34:42] adjudicate-adyen: OK in 33s (108438 tok, $0.120) [done 2, failed 0]
[16:34:48] adjudicate-abuseipdb: OK in 39s (115023 tok, $0.129) [done 3, failed 0]
[16:35:17] adjudicate-aerodatabox: OK in 40s (150159 tok, $0.139) [done 4, failed 0]
[16:35:17] adjudicate-afterpay: OK in 35s (141565 tok, $0.129) [done 5, failed 0]
[16:35:32] adjudicate-amazon-bedrock: OK in 16s (31068 tok, $0.015) [done 6, failed 0]
[16:35:42] adjudicate-api-football: OK in 25s (99900 tok, $0.115) [done 7, failed 0]
[16:35:58] adjudicate-arxiv-api: OK in 16s (76982 tok, $0.086) [done 8, failed 0]
[16:36:18] adjudicate-alpaca: OK in 90s (402544 tok, $0.450) [done 9, failed 0]
[16:36:18] adjudicate-api-ninjas-exercises: OK in 46s (71450 tok, $0.055) [done 10, failed 0]
[16:36:25] adjudicate-arxiv: OK in 27s (78633 tok, $0.110) [done 11, failed 0]
[16:37:05] adjudicate-auth0: OK in 47s (74626 tok, $0.150) [done 12, failed 0]
[16:37:21] adjudicate-authorize-net: OK in 56s (174783 tok, $0.220) [done 13, failed 0]
[16:37:34] adjudicate-aviationstack: OK in 12s (30895 tok, $0.014) [done 14, failed 0]
[16:37:42] adjudicate-adsb-exchange: OK in 213s (874614 tok, $0.627) [done 15, failed 0]
[16:38:11] adjudicate-aws-rekognition: OK in 37s (129385 tok, $0.135) [done 16, failed 0]
[16:38:25] adjudicate-aviation-edge: OK in 79s (168180 tok, $0.295) [done 17, failed 0]
[16:38:37] adjudicate-azure-maps: OK in 26s (71298 tok, $0.090) [done 18, failed 0]
[16:39:14] adjudicate-balldontlie: OK in 37s (82087 tok, $0.080) [done 19, failed 0]
[16:39:14] adjudicate-azure-openai: OK in 50s (208358 tok, $0.202) [done 20, failed 0]
[16:39:53] adjudicate-astronomyapi: OK in 214s (904496 tok, $0.689) [done 21, failed 0]
[16:40:08] adjudicate-bigcommerce: OK in 54s (110769 tok, $0.087) [done 22, failed 0]
[16:40:21] adjudicate-aylien-news: OK in 159s (639022 tok, $0.487) [done 23, failed 0]
[16:40:36] adjudicate-bing-maps: OK in 82s (184898 tok, $0.224) [done 24, failed 0]
