[18:26:50] codex fleet start: 47 jobs, concurrency 4
[18:30:37] audit-003: OK in 228s (0 tok) [done 1, failed 0]
[18:31:00] audit-001: OK in 250s (0 tok) [done 2, failed 0]
[18:31:09] audit-002: OK in 259s (0 tok) [done 3, failed 0]
[18:33:38] audit-004: OK in 181s (0 tok) [done 4, failed 0]
[18:34:12] audit-005: OK in 193s (0 tok) [done 5, failed 0]
[18:34:40] audit-000: OK in 470s (0 tok) [done 6, failed 0]
[18:35:21] audit-006: OK in 253s (0 tok) [done 7, failed 0]
[18:37:59] audit-007: OK in 261s (0 tok) [done 8, failed 0]
[18:38:46] audit-008: OK in 274s (0 tok) [done 9, failed 0]
[18:39:02] audit-009: OK in 262s (0 tok) [done 10, failed 0]
[18:40:19] audit-010: OK in 298s (0 tok) [done 11, failed 0]
[18:42:04] audit-011: OK in 245s (0 tok) [done 12, failed 0]
[18:44:49] audit-014: OK in 270s (0 tok) [done 13, failed 0]
[18:45:00] audit-013: OK in 359s (0 tok) [done 14, failed 0]
[18:45:47] audit-015: OK in 223s (0 tok) [done 15, failed 0]
[18:47:39] audit-017: OK in 158s (0 tok) [done 16, failed 0]
[18:47:45] audit-012: OK in 539s (0 tok) [done 17, failed 0]
[18:49:52] audit-016: OK in 303s (0 tok) [done 18, failed 0]
[18:50:27] audit-018: OK in 280s (0 tok) [done 19, failed 0]
[18:51:18] audit-020: OK in 214s (0 tok) [done 20, failed 0]
[18:53:05] audit-019: OK in 326s (0 tok) [done 21, failed 0]
[18:53:45] audit-021: OK in 233s (0 tok) [done 22, failed 0]
[18:54:06] audit-022: OK in 219s (0 tok) [done 23, failed 0]
[18:55:21] audit-023: OK in 243s (0 tok) [done 24, failed 0]
[18:57:46] audit-024: OK in 281s (0 tok) [done 25, failed 0]
[18:58:07] audit-025: OK in 262s (0 tok) [done 26, failed 0]
[18:58:35] audit-026: OK in 269s (0 tok) [done 27, failed 0]
[18:58:37] audit-027: OK in 197s (0 tok) [done 28, failed 0]
[19:02:20] audit-030: OK in 224s (0 tok) [done 29, failed 0]
[19:02:53] audit-031: OK in 256s (0 tok) [done 30, failed 0]
[19:03:35] audit-028: OK in 349s (0 tok) [done 31, failed 0]
[19:03:35] audit-029: OK in 328s (0 tok) [done 32, failed 0]
[19:05:53] audit-032: OK in 213s (0 tok) [done 33, failed 0]
[19:06:39] audit-033: OK in 226s (0 tok) [done 34, failed 0]
[19:08:38] audit-034: OK in 303s (0 tok) [done 35, failed 0]
[19:09:40] audit-035: OK in 365s (0 tok) [done 36, failed 0]
[19:11:45] audit-037: OK in 306s (0 tok) [done 37, failed 0]
[19:11:51] audit-036: OK in 358s (0 tok) [done 38, failed 0]
[19:12:11] audit-038: OK in 213s (0 tok) [done 39, failed 0]
[19:12:42] audit-039: OK in 183s (0 tok) [done 40, failed 0]
[19:15:57] audit-040: OK in 252s (0 tok) [done 41, failed 0]
[19:16:49] audit-043: OK in 247s (0 tok) [done 42, failed 0]
[19:17:25] audit-041: OK in 334s (0 tok) [done 43, failed 0]
[19:18:13] audit-042: OK in 362s (0 tok) [done 44, failed 0]
[19:21:24] audit-045: OK in 275s (0 tok) [done 45, failed 0]
[19:22:43] audit-046: OK in 318s (0 tok) [done 46, failed 0]
[19:23:00] audit-044: OK in 423s (0 tok) [done 47, failed 0]
[19:23:00] codex fleet done: ok=47 failed=0 skipped=0 tokens=0
