[19:24:14] fleet start: 366 jobs, concurrency 8
[19:24:58] arbitrate-abstract-ip-geo: OK in 44s (76115 tok, $0.097) [done 1, failed 0]
[19:24:58] arbitrate-advice-slip: OK in 44s (62773 tok, $0.071) [done 2, failed 0]
[19:25:04] arbitrate-abstract-email: OK in 50s (161129 tok, $0.154) [done 3, failed 0]
[19:25:15] arbitrate-accuweather: OK in 61s (108523 tok, $0.114) [done 4, failed 0]
[19:25:18] arbitrate-adyen: OK in 64s (117662 tok, $0.156) [done 5, failed 0]
[19:25:32] arbitrate-afterpay: OK in 34s (101703 tok, $0.108) [done 6, failed 0]
[19:25:44] arbitrate-17track: OK in 89s (418960 tok, $0.301) [done 7, failed 0]
[19:25:55] arbitrate-alpaca: OK in 37s (111340 tok, $0.124) [done 8, failed 0]
[19:25:55] arbitrate-alchemy: OK in 40s (156200 tok, $0.186) [done 9, failed 0]
[19:25:55] arbitrate-airnow: OK in 50s (193958 tok, $0.157) [done 10, failed 0]
[19:26:07] arbitrate-aftership: OK in 69s (178717 tok, $0.289) [done 11, failed 0]
[19:26:27] arbitrate-amazon-bedrock: OK in 55s (296057 tok, $0.299) [done 12, failed 0]
[19:26:36] arbitrate-adsb-exchange: OK in 142s (631567 tok, $0.452) [done 13, failed 0]
[19:26:46] arbitrate-anilist: OK in 51s (138983 tok, $0.146) [done 14, failed 0]
[19:26:49] arbitrate-anthropic: OK in 55s (154368 tok, $0.161) [done 15, failed 0]
[19:26:56] arbitrate-apify: OK in 20s (66961 tok, $0.093) [done 16, failed 0]
[19:26:57] arbitrate-api-ninjas-exercises: OK in 30s (70513 tok, $0.087) [done 17, failed 0]
[19:27:03] arbitrate-amtrak-statusmaps: OK in 68s (146389 tok, $0.163) [done 18, failed 0]
[19:27:10] arbitrate-api-football: OK in 63s (232340 tok, $0.210) [done 19, failed 0]
[19:27:24] arbitrate-amazon-paapi: OK in 100s (172066 tok, $0.212) [done 20, failed 0]
[19:27:29] arbitrate-arxiv: OK in 40s (79583 tok, $0.082) [done 21, failed 0]
[19:27:43] arbitrate-abs-statistics: OK in 208s (404585 tok, $0.273) [done 22, failed 0]
[19:27:47] arbitrate-arxiv-api: OK in 61s (156828 tok, $0.194) [done 23, failed 0]
[19:27:47] arbitrate-authorize-net: OK in 45s (214351 tok, $0.159) [done 24, failed 0]
[19:27:57] arbitrate-azure-openai: OK in 28s (110079 tok, $0.120) [done 25, failed 0]
[19:27:57] arbitrate-aviationstack: OK in 47s (189176 tok, $0.149) [done 26, failed 0]
[19:28:00] arbitrate-assemblyai: OK in 63s (268152 tok, $0.232) [done 27, failed 0]
[19:28:11] arbitrate-aws-rekognition: OK in 47s (123363 tok, $0.147) [done 28, failed 0]
[19:28:26] arbitrate-binance: OK in 39s (67384 tok, $0.095) [done 29, failed 0]
[19:28:31] arbitrate-astronomyapi: OK in 93s (430818 tok, $0.263) [done 30, failed 0]
[19:28:42] arbitrate-bigcommerce: OK in 55s (121937 tok, $0.152) [done 31, failed 0]
[19:28:44] arbitrate-balldontlie: OK in 61s (134026 tok, $0.149) [done 32, failed 0]
[19:28:49] arbitrate-bing-news-search: OK in 52s (106913 tok, $0.096) [done 33, failed 0]
[19:28:49] arbitrate-bing-maps: OK in 52s (107250 tok, $0.089) [done 34, failed 0]
[19:28:54] arbitrate-bitbucket: OK in 43s (161343 tok, $0.208) [done 35, failed 0]
[19:28:56] arbitrate-birdeye: OK in 56s (106062 tok, $0.108) [done 36, failed 0]
[19:29:03] arbitrate-bls: OK in 32s (111055 tok, $0.108) [done 37, failed 0]
[19:29:07] arbitrate-blockchair: OK in 41s (163026 tok, $0.139) [done 38, failed 0]
[19:29:12] arbitrate-bluesky: OK in 30s (107732 tok, $0.134) [done 39, failed 0]
[19:29:16] arbitrate-boardgamegeek: OK in 32s (110826 tok, $0.104) [done 40, failed 0]
[19:29:16] arbitrate-bored-api: OK in 27s (61928 tok, $0.039) [done 41, failed 0]
[19:29:23] arbitrate-canada-open-data: OK in 16s (30061 tok, $0.012) [done 42, failed 0]
[19:29:27] arbitrate-braintree: OK in 38s (109686 tok, $0.119) [done 43, failed 0]
[19:29:27] arbitrate-brave-search: OK in 33s (109020 tok, $0.092) [done 44, failed 0]
[19:29:44] arbitrate-brewerydb: OK in 48s (140876 tok, $0.128) [done 45, failed 0]
[19:29:47] arbitrate-calorieninjas: OK in 44s (152096 tok, $0.190) [done 46, failed 0]
[19:30:02] arbitrate-chargebee: OK in 34s (180725 tok, $0.163) [done 47, failed 0]
[19:30:09] arbitrate-census-bureau: OK in 54s (144154 tok, $0.150) [done 48, failed 0]
[19:30:09] arbitrate-chess-com: OK in 26s (77865 tok, $0.093) [done 49, failed 0]
[19:30:09] arbitrate-censys: OK in 46s (107708 tok, $0.101) [done 50, failed 0]
[19:30:21] arbitrate-cdc-wonder: OK in 65s (146676 tok, $0.153) [done 51, failed 0]
[19:30:21] arbitrate-cheapshark: OK in 54s (178937 tok, $0.128) [done 52, failed 0]
[19:30:30] arbitrate-chicago-open-data: OK in 43s (153347 tok, $0.148) [done 53, failed 0]
[19:30:58] arbitrate-cloudflare-doh: OK in 37s (30045 tok, $0.014) [done 54, failed 0]
[19:31:01] arbitrate-circleci: OK in 60s (112248 tok, $0.116) [done 55, failed 0]
[19:31:23] arbitrate-cloudflare-workers-ai: OK in 62s (114069 tok, $0.141) [done 56, failed 0]
[19:31:39] arbitrate-cohere: OK in 40s (30705 tok, $0.054) [done 57, failed 0]
[19:31:44] arbitrate-codecov: OK in 74s (260783 tok, $0.134) [done 58, failed 0]
[19:32:04] arbitrate-clerk: OK in 115s (500096 tok, $0.309) [done 59, failed 0]
[19:32:12] arbitrate-coinmarketcap: OK in 28s (30163 tok, $0.048) [done 60, failed 0]
[19:32:20] arbitrate-coingecko: OK in 41s (155158 tok, $0.136) [done 61, failed 0]
[19:32:29] arbitrate-clarifai: OK in 140s (528773 tok, $0.393) [done 62, failed 0]
[19:32:35] arbitrate-carmd: OK in 202s (542620 tok, $0.339) [done 63, failed 0]
[19:32:44] arbitrate-coinbase: OK in 80s (617779 tok, $0.378) [done 64, failed 0]
[19:32:46] arbitrate-comicvine: OK in 33s (120781 tok, $0.085) [done 65, failed 0]
[19:32:55] arbitrate-coursera: OK in 21s (30263 tok, $0.049) [done 66, failed 0]
[19:33:07] arbitrate-coinbase-commerce: OK in 125s (274498 tok, $0.210) [done 67, failed 0]
[19:33:20] arbitrate-covalent: OK in 36s (109195 tok, $0.121) [done 68, failed 0]
[19:33:20] arbitrate-collegefootballdata: OK in 75s (250540 tok, $0.230) [done 69, failed 0]
[19:33:28] arbitrate-companies-house: OK in 68s (292319 tok, $0.196) [done 70, failed 0]
[19:33:42] arbitrate-crawlbase: OK in 47s (122315 tok, $0.120) [done 71, failed 0]
[19:33:42] arbitrate-cricapi: OK in 36s (29904 tok, $0.011) [done 72, failed 0]
[19:33:54] arbitrate-crates-io: OK in 69s (248763 tok, $0.206) [done 73, failed 0]
[19:34:02] arbitrate-contextualweb-news: OK in 92s (319022 tok, $0.197) [done 74, failed 0]
[19:34:16] arbitrate-crossref: OK in 56s (110774 tok, $0.130) [done 75, failed 0]
[19:34:19] arbitrate-currencyapi: OK in 51s (104253 tok, $0.063) [done 76, failed 0]
[19:34:27] arbitrate-currents-api: OK in 45s (65049 tok, $0.075) [done 77, failed 0]
[19:34:38] arbitrate-data-gouv-fr: OK in 44s (63108 tok, $0.077) [done 78, failed 0]
[19:34:49] arbitrate-data-gov: OK in 48s (120897 tok, $0.119) [done 79, failed 0]
[19:34:57] arbitrate-datamuse: OK in 29s (64972 tok, $0.040) [done 80, failed 0]
[19:35:10] arbitrate-dailymed: OK in 87s (158739 tok, $0.113) [done 81, failed 0]
[19:35:11] arbitrate-dbpedia: OK in 33s (62497 tok, $0.038) [done 82, failed 0]
[19:35:11] arbitrate-datadog: OK in 53s (131520 tok, $0.165) [done 83, failed 0]
[19:35:27] arbitrate-discogs: OK in 15s (30006 tok, $0.012) [done 84, failed 0]
[19:35:35] arbitrate-deepgram: OK in 46s (114429 tok, $0.103) [done 85, failed 0]
[19:35:35] arbitrate-claimbuster: OK in 326s (1145226 tok, $0.612) [done 86, failed 0]
[19:35:35] arbitrate-discourse: OK in 24s (66298 tok, $0.040) [done 87, failed 0]
[19:35:42] arbitrate-deepl: OK in 46s (108766 tok, $0.087) [done 88, failed 0]
[19:35:49] arbitrate-data-world: OK in 93s (618577 tok, $0.408) [done 89, failed 0]
[19:36:12] arbitrate-dune-analytics: OK in 36s (112482 tok, $0.131) [done 90, failed 0]
[19:36:20] arbitrate-edamam-recipe: OK in 31s (110664 tok, $0.079) [done 91, failed 0]
[19:36:24] arbitrate-duolingo: OK in 48s (103780 tok, $0.076) [done 92, failed 0]
[19:36:28] arbitrate-easypost: OK in 52s (148390 tok, $0.162) [done 93, failed 0]
[19:36:37] arbitrate-docker-hub: OK in 70s (460784 tok, $0.270) [done 94, failed 0]
[19:36:50] arbitrate-elevenlabs: OK in 31s (111211 tok, $0.096) [done 95, failed 0]
[19:36:50] arbitrate-eia: OK in 39s (113609 tok, $0.091) [done 96, failed 0]
[19:36:50] arbitrate-eodhd: OK in 23s (72428 tok, $0.059) [done 97, failed 0]
[19:36:59] arbitrate-ensembl: OK in 35s (103174 tok, $0.070) [done 98, failed 0]
[19:37:02] arbitrate-defillama: OK in 113s (373682 tok, $0.219) [done 99, failed 0]
[19:37:15] arbitrate-ergast-f1: OK in 38s (102088 tok, $0.063) [done 100, failed 0]
[19:37:32] arbitrate-etherscan: OK in 41s (67230 tok, $0.044) [done 101, failed 0]
[19:37:41] arbitrate-eurostat: OK in 39s (61776 tok, $0.027) [done 102, failed 0]
[19:37:43] arbitrate-europeana: OK in 44s (102804 tok, $0.074) [done 103, failed 0]
[19:37:43] arbitrate-ebay: OK in 121s (427139 tok, $0.365) [done 104, failed 0]
[19:37:51] arbitrate-cryptocompare: OK in 272s (1260739 tok, $0.595) [done 105, failed 0]
[19:38:04] arbitrate-espn-api: OK in 74s (158405 tok, $0.142) [done 106, failed 0]
[19:38:05] arbitrate-exa: OK in 33s (70363 tok, $0.057) [done 107, failed 0]
[19:38:15] arbitrate-exchangerate-api: OK in 34s (103378 tok, $0.095) [done 108, failed 0]
[19:38:23] arbitrate-fatsecret: OK in 40s (107711 tok, $0.087) [done 109, failed 0]
[19:38:27] arbitrate-fhir-r4-examples: OK in 35s (167911 tok, $0.132) [done 110, failed 0]
[19:38:36] arbitrate-financial-modeling-prep: OK in 32s (140253 tok, $0.123) [done 111, failed 0]
[19:38:45] arbitrate-firecrawl: OK in 30s (71094 tok, $0.090) [done 112, failed 0]
[19:38:55] arbitrate-fingerprint: OK in 50s (167092 tok, $0.173) [done 113, failed 0]
[19:39:00] arbitrate-fixer: OK in 33s (135608 tok, $0.116) [done 114, failed 0]
[19:39:04] arbitrate-flightaware-aeroapi: OK in 28s (95552 tok, $0.065) [done 115, failed 0]
[19:39:19] arbitrate-freetogame: OK in 15s (30155 tok, $0.012) [done 116, failed 0]
[19:39:27] arbitrate-event-registry: OK in 132s (956733 tok, $0.538) [done 117, failed 0]
[19:39:35] arbitrate-frankfurter: OK in 40s (102555 tok, $0.067) [done 118, failed 0]
[19:39:44] arbitrate-fred: OK in 44s (150868 tok, $0.098) [done 119, failed 0]
[19:39:44] arbitrate-eu-data-portal: OK in 173s (435970 tok, $0.276) [done 120, failed 0]
[19:39:53] arbitrate-foursquare-places: OK in 68s (222140 tok, $0.214) [done 121, failed 0]
[19:39:53] arbitrate-exercisedb: OK in 130s (607977 tok, $0.314) [done 122, failed 0]
[19:39:53] arbitrate-fireworks-ai: OK in 90s (299633 tok, $0.208) [done 123, failed 0]
[19:40:21] arbitrate-geoapify: OK in 54s (130322 tok, $0.107) [done 124, failed 0]
[19:40:24] arbitrate-github: OK in 31s (66068 tok, $0.040) [done 125, failed 0]
[19:40:24] arbitrate-gnews: OK in 31s (65174 tok, $0.038) [done 126, failed 0]
[19:40:32] arbitrate-gitlab: OK in 39s (68147 tok, $0.051) [done 127, failed 0]
[19:40:37] arbitrate-giphy: OK in 53s (81114 tok, $0.079) [done 128, failed 0]
[19:40:42] arbitrate-geonames: OK in 67s (114174 tok, $0.126) [done 129, failed 0]
[19:40:58] arbitrate-giantbomb: OK in 75s (136680 tok, $0.093) [done 130, failed 0]
[19:40:58] arbitrate-google-books: OK in 38s (180325 tok, $0.159) [done 131, failed 0]
[19:41:14] arbitrate-grafana-cloud: OK in 37s (209063 tok, $0.131) [done 132, failed 0]
[19:41:19] arbitrate-google-gemini: OK in 54s (209876 tok, $0.185) [done 133, failed 0]
[19:41:36] arbitrate-google-maps: OK in 64s (136876 tok, $0.159) [done 134, failed 0]
[19:41:46] arbitrate-greynoise: OK in 47s (146015 tok, $0.116) [done 135, failed 0]
[19:41:52] arbitrate-groq: OK in 39s (133818 tok, $0.131) [done 136, failed 0]
[19:41:57] arbitrate-haveibeenpwned: OK in 12s (30316 tok, $0.013) [done 137, failed 0]
[19:42:00] arbitrate-guardian: OK in 41s (303748 tok, $0.170) [done 138, failed 0]
[19:42:12] arbitrate-gdelt: OK in 173s (252337 tok, $0.209) [done 139, failed 0]
[19:42:17] arbitrate-harvard-art-museums: OK in 41s (105396 tok, $0.070) [done 140, failed 0]
[19:42:19] arbitrate-graphhopper: OK in 98s (636935 tok, $0.346) [done 141, failed 0]
[19:42:38] arbitrate-grid-esports: OK in 100s (276882 tok, $0.254) [done 142, failed 0]
[19:42:52] arbitrate-hunter: OK in 36s (72442 tok, $0.063) [done 143, failed 0]
[19:42:58] arbitrate-hipo-universities: OK in 59s (65543 tok, $0.080) [done 144, failed 0]
[19:42:58] arbitrate-hex-pm: OK in 61s (155764 tok, $0.133) [done 145, failed 0]
[19:42:58] arbitrate-huggingface-inference: OK in 46s (113030 tok, $0.095) [done 146, failed 0]
[19:43:14] arbitrate-hypixel: OK in 54s (131125 tok, $0.104) [done 147, failed 0]
[19:43:14] arbitrate-google-fact-check: OK in 170s (371682 tok, $0.278) [done 148, failed 0]
