[round 1] purged 241 punts
[20:11:37] fleet start: 366 jobs, concurrency 8
[20:12:04] arbitrate-advice-slip: OK in 27s (62167 tok, $0.033) [done 1, failed 0]
[20:12:06] arbitrate-afterpay: OK in 30s (97528 tok, $0.059) [done 2, failed 0]
[20:12:10] arbitrate-abstract-email: OK in 33s (156653 tok, $0.104) [done 3, failed 0]
[20:12:13] arbitrate-alpaca: OK in 37s (112071 tok, $0.095) [done 4, failed 0]
[20:12:16] arbitrate-alchemy: OK in 40s (114004 tok, $0.117) [done 5, failed 0]
[20:12:25] arbitrate-airnow: OK in 49s (221681 tok, $0.150) [done 6, failed 0]
[20:12:35] arbitrate-amtrak-statusmaps: OK in 29s (108464 tok, $0.093) [done 7, failed 0]
[20:12:36] arbitrate-anilist: OK in 26s (99850 tok, $0.061) [done 8, failed 0]
[20:12:51] arbitrate-anthropic: OK in 38s (118726 tok, $0.115) [done 9, failed 0]
[20:12:51] arbitrate-17track: OK in 75s (303074 tok, $0.182) [done 10, failed 0]
[20:12:51] arbitrate-adyen: OK in 75s (164941 tok, $0.183) [done 11, failed 0]
[20:12:58] arbitrate-api-ninjas-exercises: OK in 33s (117201 tok, $0.117) [done 12, failed 0]
[20:13:01] arbitrate-api-football: OK in 45s (219340 tok, $0.184) [done 13, failed 0]
[20:13:16] arbitrate-amazon-bedrock: OK in 72s (299120 tok, $0.273) [done 14, failed 0]
[20:13:31] arbitrate-arxiv-api: OK in 56s (118473 tok, $0.101) [done 15, failed 0]
[20:13:38] arbitrate-aviationstack: OK in 47s (105539 tok, $0.066) [done 16, failed 0]
[20:13:47] arbitrate-azure-openai: OK in 49s (115281 tok, $0.127) [done 17, failed 0]
[20:13:49] arbitrate-aws-rekognition: OK in 58s (125937 tok, $0.111) [done 18, failed 0]
[20:13:57] arbitrate-binance: OK in 26s (100929 tok, $0.073) [done 19, failed 0]
[20:14:02] arbitrate-astronomyapi: OK in 86s (443506 tok, $0.319) [done 20, failed 0]
[20:14:05] arbitrate-authorize-net: OK in 74s (271344 tok, $0.164) [done 21, failed 0]
[20:14:14] arbitrate-bitbucket: OK in 36s (133675 tok, $0.143) [done 22, failed 0]
[20:14:14] arbitrate-balldontlie: OK in 73s (129704 tok, $0.106) [done 23, failed 0]
