[chain] seed fleet done, merging
377 new unique APIs (193 deduped away)
  agriculture: 12
  ai-ml: 24
  crypto: 19
  data-analytics: 2
  dev-tools: 24
  ecommerce-payments: 17
  education-reference: 10
  energy-utilities: 16
  entertainment: 5
  events-holidays: 17
  finance: 11
  food-drink: 2
  games-comics: 17
  geo-maps: 16
  government-open-data: 18
  health-fitness: 5
  iot-devices: 24
  jobs-careers: 23
  legal-compliance: 16
  news-media: 5
  real-estate-housing: 21
  science-space: 6
  security-identity: 21
  social-communication: 7
  transportation: 10
  travel-hospitality: 13
  utilities: 14
  weather-environment: 2
wrote 377 researcher jobs to /Users/memfactor/Desktop/misc_repos/grokproj/pipeline/jobs-research-r2.jsonl
[chain] launching research fleet
[14:34:39] fleet start: 377 jobs, concurrency 8
[14:34:56] research-opencorporates: OK in 17s (30421 tok, $0.044) [done 1, failed 0]
[14:35:11] research-itunes-search: OK in 15s (30541 tok, $0.045) [done 2, failed 0]
[14:35:31] research-usda-nass-quick-stats: OK in 52s (122915 tok, $0.150) [done 3, failed 0]
[14:35:54] research-azure-devops: OK in 75s (201120 tok, $0.230) [done 4, failed 0]
[14:35:55] research-britannica: OK in 76s (476853 tok, $0.328) [done 5, failed 0]
[14:36:11] research-checkout-com: OK in 92s (238355 tok, $0.228) [done 6, failed 0]
[14:36:32] research-sec-edgar: OK in 61s (175535 tok, $0.185) [done 7, failed 0]
[14:36:43] research-steamspy: OK in 48s (147890 tok, $0.141) [done 8, failed 0]
[14:36:45] research-open-menu: OK in 51s (155047 tok, $0.144) [done 9, failed 0]
[14:36:51] research-quicknode: OK in 132s (287248 tok, $0.240) [done 10, failed 0]
[14:37:24] research-federal-register: OK in 52s (162395 tok, $0.157) [done 11, failed 0]
[14:37:30] research-umls-uts: OK in 47s (211699 tok, $0.148) [done 12, failed 0]
[14:37:33] research-particle: OK in 49s (200681 tok, $0.164) [done 13, failed 0]
[14:37:44] research-osrm: OK in 93s (319420 tok, $0.333) [done 14, failed 0]
[14:37:51] research-adzuna: OK in 60s (156035 tok, $0.152) [done 15, failed 0]
[14:37:54] research-nager-date: OK in 162s (597631 tok, $0.468) [done 16, failed 0]
[14:37:58] research-anyscale-endpoints: OK in 199s (523444 tok, $0.512) [done 17, failed 0]
[14:38:37] research-courtlistener: OK in 73s (179377 tok, $0.223) [done 18, failed 0]
[14:39:04] research-electricity-maps: OK in 265s (2049029 tok, $0.982) [done 19, failed 0]
[14:39:04] research-loops: OK in 71s (231231 tok, $0.196) [done 20, failed 0]
[14:39:21] research-newsapi-ai: OK in 111s (763796 tok, $0.551) [done 21, failed 0]
[14:39:34] research-openflights: OK in 96s (278127 tok, $0.262) [done 22, failed 0]
[14:39:47] research-dehashed: OK in 117s (736770 tok, $0.462) [done 23, failed 0]
[14:40:03] research-amadeus: OK in 86s (268762 tok, $0.313) [done 24, failed 0]
[14:40:05] research-astrobin: OK in 142s (945855 tok, $0.527) [done 25, failed 0]
[14:40:16] research-apiflash: OK in 72s (262860 tok, $0.195) [done 26, failed 0]
[14:40:35] research-zillow-bridge: OK in 181s (818425 tok, $0.602) [done 27, failed 0]
[14:40:52] research-baseten: OK in 78s (333232 tok, $0.304) [done 28, failed 0]
[14:40:57] research-buildkite: OK in 51s (195278 tok, $0.151) [done 29, failed 0]
[14:41:03] research-watttime: OK in 11s (30337 tok, $0.016) [done 30, failed 0]
[14:41:15] research-plant-id: OK in 114s (409671 tok, $0.275) [done 31, failed 0]
[14:41:24] research-paystack: OK in 68s (205487 tok, $0.224) [done 32, failed 0]
