[chain] research fleet done
[chain] machine checks (all research entries, fresh liveness sweep)
856 checked, 196 flagged -> data/rework-queue.txt
[chain] generating verify jobs (round-1 outputs exist, runner skips them)
wrote 1698 verifier jobs to /Users/memfactor/Desktop/misc_repos/grokproj/pipeline/jobs-verify.jsonl
[18:57:23] fleet start: 1698 jobs, concurrency 8
[18:58:34] verify-ably-b: OK in 71s (192224 tok, $0.247) [done 1, failed 0]
[18:58:43] verify-abstract-exchange-rates-a: OK in 79s (345506 tok, $0.299) [done 2, failed 0]
[18:58:59] verify-abstract-exchange-rates-b: OK in 96s (291203 tok, $0.216) [done 3, failed 0]
[18:59:01] verify-1inch-a: OK in 97s (420312 tok, $0.359) [done 4, failed 0]
[18:59:01] verify-1inch-b: OK in 98s (346543 tok, $0.265) [done 5, failed 0]
[18:59:04] verify-ably-a: OK in 101s (349252 tok, $0.286) [done 6, failed 0]
[18:59:10] verify-adzuna-b: OK in 9s (29871 tok, $0.057) [done 7, failed 0]
[18:59:13] verify-affinda-b: OK in 9s (29925 tok, $0.057) [done 8, failed 0]
[18:59:18] verify-2checkout-a: OK in 115s (317042 tok, $0.242) [done 9, failed 0]
[18:59:20] verify-affinda-a: OK in 19s (29969 tok, $0.042) [done 10, failed 0]
[18:59:41] verify-2checkout-b: OK in 137s (231636 tok, $0.257) [done 11, failed 0]
[18:59:44] verify-adafruit-io-a: OK in 70s (257080 tok, $0.224) [done 12, failed 0]
[19:00:00] verify-adafruit-io-b: OK in 77s (238019 tok, $0.294) [done 13, failed 0]
[19:00:01] verify-adzuna-a: OK in 62s (186711 tok, $0.159) [done 14, failed 0]
[19:00:12] verify-afp-api-b: parse failure (attempt 1): Expecting ',' delimiter: line 1368 column 1 (char 4119)
[19:00:31] verify-ai21-labs-b: OK in 47s (159615 tok, $0.194) [done 15, failed 0]
[19:00:32] verify-agromonitoring-b: OK in 71s (247505 tok, $0.210) [done 16, failed 0]
[19:00:37] verify-agromonitoring-a: OK in 79s (257507 tok, $0.174) [done 17, failed 0]
[19:01:22] verify-ai21-labs-a: OK in 101s (211756 tok, $0.173) [done 18, failed 0]
[19:01:26] verify-airlabs-a: OK in 86s (228770 tok, $0.198) [done 19, failed 0]
[19:02:16] verify-afp-api-b: OK in 124s (514495 tok, $0.330) [done 20, failed 0]
[19:02:27] verify-amazon-ses-a: OK in 61s (182608 tok, $0.222) [done 21, failed 0]
[19:02:46] verify-afp-api-a: OK in 216s (489231 tok, $0.469) [done 22, failed 0]
[19:02:49] verify-airlabs-b: OK in 168s (637589 tok, $0.359) [done 23, failed 0]
[19:03:03] verify-amiiboapi-a: OK in 14s (30166 tok, $0.013) [done 24, failed 0]
[19:03:10] verify-amiiboapi-b: OK in 7s (30198 tok, $0.013) [done 25, failed 0]
[19:03:11] verify-amazon-ses-b: OK in 55s (180743 tok, $0.186) [done 26, failed 0]
[19:03:21] verify-ankr-b: OK in 10s (30053 tok, $0.013) [done 27, failed 0]
[19:04:00] verify-amber-electric-b: OK in 74s (216588 tok, $0.163) [done 28, failed 0]
[19:04:19] verify-amadeus-a: OK in 222s (761716 tok, $0.477) [done 29, failed 0]
[19:04:30] verify-anyscale-endpoints-a: OK in 70s (202909 tok, $0.184) [done 30, failed 0]
[19:04:31] verify-amber-electric-a: OK in 124s (289435 tok, $0.226) [done 31, failed 0]
[19:04:47] verify-ankr-a: OK in 98s (400684 tok, $0.323) [done 32, failed 0]
[19:04:48] verify-amadeus-b: OK in 206s (614518 tok, $0.350) [done 33, failed 0]
[19:05:25] verify-apiflash-a: OK in 54s (151944 tok, $0.202) [done 34, failed 0]
[19:05:38] verify-anyscale-endpoints-b: OK in 98s (347933 tok, $0.280) [done 35, failed 0]
