[codex-chain] phase 1: verify remainder (validate-and-rerun loop)
wrote 461 codex jobs to pipeline/jobs-verify-codex.jsonl
[codex-chain] verify round 1: 461 jobs
[22:45:30] codex fleet start: 461 jobs, concurrency 6
[22:46:20] verify-gridstatus-a: OK in 51s (0 tok) [done 1, failed 0]
[22:47:00] verify-greenhouse-a: OK in 90s (0 tok) [done 2, failed 0]
[22:47:10] verify-govuk-fuel-prices-b: OK in 100s (0 tok) [done 3, failed 0]
[22:47:13] verify-govinfo-a: OK in 103s (0 tok) [done 4, failed 0]
[22:47:20] verify-greenhouse-b: OK in 110s (0 tok) [done 5, failed 0]
[22:47:36] verify-govuk-fuel-prices-a: OK in 126s (0 tok) [done 6, failed 0]
[22:47:49] verify-gridstatus-b: OK in 88s (0 tok) [done 7, failed 0]
[22:48:45] verify-helius-b: OK in 85s (0 tok) [done 8, failed 0]
[22:48:58] verify-helius-a: OK in 105s (0 tok) [done 9, failed 0]
[22:49:14] verify-hiringcafe-a: OK in 98s (0 tok) [done 10, failed 0]
[22:49:16] verify-gumroad-a: OK in 136s (0 tok) [done 11, failed 0]
[22:49:26] verify-hiringcafe-b: OK in 97s (0 tok) [done 12, failed 0]
[22:49:47] verify-hivemq-cloud-a: OK in 62s (0 tok) [done 13, failed 0]
[22:49:55] verify-gumroad-b: OK in 166s (0 tok) [done 14, failed 0]
[22:50:39] verify-hivemq-cloud-b: OK in 101s (0 tok) [done 15, failed 0]
[22:51:03] verify-hologram-a: OK in 97s (0 tok) [done 16, failed 0]
[22:51:19] verify-holidayapi-a: OK in 124s (0 tok) [done 17, failed 0]
[22:51:19] verify-holidayapi-b: OK in 123s (0 tok) [done 18, failed 0]
[22:51:25] verify-hologram-b: OK in 98s (0 tok) [done 19, failed 0]
[22:51:40] verify-home-assistant-b: OK in 61s (0 tok) [done 20, failed 0]
[22:51:44] verify-home-assistant-a: OK in 109s (0 tok) [done 21, failed 0]
[22:52:17] verify-honeycomb-b: OK in 59s (0 tok) [done 22, failed 0]
[22:52:18] verify-hotelbeds-a: OK in 59s (0 tok) [done 23, failed 0]
[22:52:26] verify-honeycomb-a: OK in 83s (0 tok) [done 24, failed 0]
[22:52:31] verify-hotelbeds-b: OK in 66s (0 tok) [done 25, failed 0]
[22:52:54] verify-housecanary-b: OK in 70s (0 tok) [done 26, failed 0]
[22:53:04] verify-housecanary-a: OK in 84s (0 tok) [done 27, failed 0]
[22:54:11] verify-hud-user-a: OK in 106s (0 tok) [done 28, failed 0]
[22:54:33] verify-huggingface-hub-a: OK in 99s (0 tok) [done 29, failed 0]
[22:54:44] verify-hud-user-b: OK in 133s (0 tok) [done 30, failed 0]
[22:55:00] verify-howlongtobeat-b: OK in 162s (0 tok) [done 31, failed 0]
[22:55:22] verify-huggingface-hub-b: OK in 138s (0 tok) [done 32, failed 0]
[22:55:41] verify-humane-a: OK in 57s (0 tok) [done 33, failed 0]
[22:55:53] verify-howlongtobeat-a: OK in 215s (0 tok) [done 34, failed 0]
[22:56:08] verify-humane-b: OK in 68s (0 tok) [done 35, failed 0]
[22:56:31] verify-ibm-watson-nlu-a: OK in 69s (0 tok) [done 36, failed 0]
[22:57:04] verify-human-phenotype-ontology-a: OK in 173s (0 tok) [done 37, failed 0]
[22:57:18] verify-ibm-watson-nlu-b: OK in 97s (0 tok) [done 38, failed 0]
[22:57:25] verify-human-phenotype-ontology-b: OK in 172s (0 tok) [done 39, failed 0]
[22:57:44] verify-ibm-watson-speech-to-text-a: OK in 111s (0 tok) [done 40, failed 0]
[22:58:15] verify-ibm-watson-speech-to-text-b: OK in 127s (0 tok) [done 41, failed 0]
[22:58:24] verify-ibm-watsonx-a: OK in 113s (0 tok) [done 42, failed 0]
[22:58:49] verify-ibm-watsonx-b: OK in 105s (0 tok) [done 43, failed 0]
[22:58:59] verify-ifttt-a: OK in 75s (0 tok) [done 44, failed 0]
[22:59:25] verify-ifttt-b: OK in 70s (0 tok) [done 45, failed 0]
[22:59:35] verify-idealista-a: OK in 137s (0 tok) [done 46, failed 0]
[22:59:39] verify-idealista-b: OK in 135s (0 tok) [done 47, failed 0]
[23:00:06] verify-imf-data-b: OK in 78s (0 tok) [done 48, failed 0]
[23:00:19] verify-insect-id-a: OK in 80s (0 tok) [done 49, failed 0]
[23:00:43] verify-imf-data-a: OK in 139s (0 tok) [done 50, failed 0]
[23:00:58] verify-insect-id-b: OK in 93s (0 tok) [done 51, failed 0]
[23:01:32] verify-4r0u-b: OK in 113s (0 tok) [done 52, failed 0]
[23:02:03] verify-4r0u-a: OK in 148s (0 tok) [done 53, failed 0]
[23:02:06] verify-intrinio-b: OK in 67s (0 tok) [done 54, failed 0]
[23:02:12] verify-internet-archive-b: OK in 113s (0 tok) [done 55, failed 0]
[23:02:16] verify-internet-archive-a: OK in 129s (0 tok) [done 56, failed 0]
[23:02:18] verify-intrinio-a: OK in 94s (0 tok) [done 57, failed 0]
[23:02:23] verify-ipapi-is-a: OK in 51s (0 tok) [done 58, failed 0]
[23:03:02] verify-ipdata-a: OK in 56s (0 tok) [done 59, failed 0]
[23:03:07] verify-iplocate-a: OK in 51s (0 tok) [done 60, failed 0]
[23:03:09] verify-ipwhois-a: OK in 45s (0 tok) [done 61, failed 0]
[23:03:20] verify-iplocate-b: OK in 62s (0 tok) [done 62, failed 0]
[23:03:27] verify-ipapi-is-b: OK in 83s (0 tok) [done 63, failed 0]
[23:03:44] verify-ipdata-b: OK in 92s (0 tok) [done 64, failed 0]
[23:03:50] verify-ipwhois-b: OK in 48s (0 tok) [done 65, failed 0]
[23:04:38] verify-isthereanydeal-b: OK in 89s (0 tok) [done 66, failed 0]
[23:04:45] verify-jawg-maps-a: OK in 61s (0 tok) [done 67, failed 0]
[23:04:47] verify-isthereanydeal-a: OK in 100s (0 tok) [done 68, failed 0]
[23:04:55] verify-jawg-maps-b: OK in 65s (0 tok) [done 69, failed 0]
[23:05:09] verify-itunes-search-a: OK in 109s (0 tok) [done 70, failed 0]
[23:05:27] verify-itunes-search-b: OK in 121s (0 tok) [done 71, failed 0]
[23:06:09] verify-jooble-a: OK in 81s (0 tok) [done 72, failed 0]
[23:06:13] verify-jooble-b: OK in 78s (0 tok) [done 73, failed 0]
[23:06:14] verify-jpl-horizons-a: OK in 65s (0 tok) [done 74, failed 0]
[23:06:18] verify-jetbrains-space-a: OK in 101s (0 tok) [done 75, failed 0]
[23:06:23] verify-jetbrains-space-b: OK in 97s (0 tok) [done 76, failed 0]
